Difficulty Level,Trial,Mining Time (s)
0,1,5.1021575927734375e-05
0,2,1.5020370483398438e-05
0,3,0.00010418891906738281
0,4,6.437301635742188e-05
0,5,1.3589859008789062e-05
0,6,1.811981201171875e-05
0,7,8.487701416015625e-05
0,8,1.1920928955078125e-05
0,9,4.649162292480469e-05
0,10,3.504753112792969e-05
00,1,0.0007128715515136719
00,2,0.001859426498413086
00,3,0.0002751350402832031
00,4,0.002949953079223633
00,5,5.53131103515625e-05
00,6,0.00024127960205078125
00,7,0.00040912628173828125
00,8,0.0011487007141113281
00,9,0.0014255046844482422
00,10,0.003780364990234375
000,1,0.012035131454467773
000,2,0.0076901912689208984
000,3,0.003031492233276367
000,4,0.013130903244018555
000,5,0.007748603820800781
000,6,0.0173037052154541
000,7,0.007470846176147461
000,8,0.008185625076293945
000,9,0.016670703887939453
000,10,0.0014023780822753906
0000,1,0.19972658157348633
0000,2,0.037003517150878906
0000,3,0.03688693046569824
0000,4,0.1007988452911377
0000,5,0.08834624290466309
0000,6,0.05918169021606445
0000,7,0.13155174255371094
0000,8,0.03030705451965332
0000,9,0.01239776611328125
0000,10,0.14777898788452148
00000,1,0.20473980903625488
00000,2,0.5828077793121338
00000,3,0.7336053848266602
00000,4,1.0973269939422607
00000,5,2.324434280395508
00000,6,0.14484024047851562
00000,7,0.28704237937927246
00000,8,0.28659987449645996
00000,9,0.6952314376831055
00000,10,1.143415927886963
000000,1,7.899336338043213
000000,2,0.4511106014251709
000000,3,1.226057767868042
000000,4,2.1365692615509033
000000,5,0.9938838481903076
000000,6,7.262025833129883
000000,7,6.370778799057007
000000,8,1.2549638748168945
000000,9,40.97780394554138
000000,10,9.166237115859985
0000000,1,220.86969804763794
0000000,2,307.594190120697
0000000,3,237.22467350959778
0000000,4,35.74432349205017
0000000,5,38.57319927215576
0000000,6,318.0468780994415
0000000,7,170.52382063865662
0000000,8,77.34904766082764
0000000,9,142.74504590034485
0000000,10,952.7849676609039
00000000,1,1148.5307188034058
